# Command: 
# structures were superimposed onto reference structure
# lag time set to 1 frames
# output dimension for PCA set to 2
# output dimension for TICA set to 2
# number of top principle components passed to time-lagged t-SNE set to 50
# output dimension for t-SNE and time-lagged t-SNE set to 2
# perplexity of t-SNE set to 10.000000
# perplexity of time-lagged t-SNE set to 10.000000
# early_exaggeration set to 12.000000
# structure_ID PCA1 PCA2 TICA1 TICA2 tSNE1 tSNE2 tltSNE1 tltSNE2
 1 -11.245107 -2.698323 0.285977 0.349193 -58.775230 -55.532673 -88.412613 33.699757
 2 -11.672377 -1.562578 0.190209 0.299774 -58.428738 -55.728996 -88.384064 33.723476
 3 -11.692805 -2.132219 0.042729 0.583722 -59.190060 -55.254883 -88.320076 33.916370
 4 -12.786648 -2.752577 0.088630 0.338378 -57.235310 -56.483173 -88.016991 33.459743
 5 -11.326507 -2.846614 0.201727 0.233550 -57.949280 -56.002884 -87.942650 33.344872
 6 -11.488806 -1.747553 0.357063 0.303222 -57.501221 -56.237000 -88.023560 33.377872
 7 -11.119142 -1.720587 0.331017 0.403607 -71.420372 -46.821144 -88.291916 34.050388
 8 -12.091290 -3.595804 0.017782 0.258382 -59.626740 -53.422501 -90.047318 33.614590
 9 -11.610033 -2.665404 0.265979 0.544302 -58.232456 -55.781193 -90.230576 33.491322
 10 -11.566024 -5.274376 0.345278 0.170208 -71.873779 -46.749039 -90.614059 33.099041
 11 -11.376953 -4.289207 0.052995 0.249573 -71.854378 -46.739510 -90.609299 32.952175
 12 -9.393276 -7.321306 0.064182 0.231478 -72.027168 -46.689793 -90.818237 32.547043
 13 -8.681489 -5.321857 0.189639 0.480659 -72.064453 -46.623322 -90.940208 32.121895
 14 -7.978838 -9.364968 0.058939 0.322468 -69.689186 -41.349308 -90.975014 31.922543
 15 -9.305984 -4.103273 0.214363 0.292835 -69.968460 -40.308903 -90.995346 31.507618
 16 -5.953140 -5.586286 -0.049022 0.168203 -69.804337 -39.892624 -91.039421 30.899847
 17 -7.677256 -8.127168 -0.009916 0.441250 -69.750694 -39.837719 -91.036034 30.871763
 18 -10.007927 -6.196728 0.243921 0.401924 -68.005196 -40.757977 -86.790611 26.925999
 19 -8.917877 -6.737793 0.227677 0.493729 -67.593285 -40.748619 -86.782234 26.824530
 20 -8.453461 -4.989427 0.555245 0.414548 -67.079430 -40.436298 -87.232414 23.971901
 21 -7.581564 -4.728542 0.624302 0.321228 -66.979576 -40.407936 -87.176765 23.910467
 22 -9.086799 -5.880923 0.523122 0.333250 -67.053276 -40.480312 -87.053772 23.972708
 23 -7.282279 -6.330716 0.713709 0.262644 -66.124016 -38.514820 -86.629898 23.552618
 24 -5.575465 -5.695386 0.793557 0.269752 -66.004936 -38.296661 -86.591515 23.386597
 25 -7.875854 -5.521929 0.674840 0.197195 -66.123756 -38.433739 -86.932312 22.757608
 26 -8.092894 -6.884789 0.490322 0.092339 -66.050255 -38.330467 -86.870850 22.562557
 27 -6.533425 -5.364894 0.502177 0.032006 -65.900688 -38.172043 -86.725761 22.242283
 28 -6.054503 -3.540358 0.535734 0.307855 -65.344475 -37.489117 -86.291641 21.951277
 29 -5.817669 -6.010726 0.503227 0.065343 -65.685776 -37.885162 -86.368568 22.004593
 30 -10.765219 -4.518107 0.657589 -0.236984 -47.571205 -42.622753 -85.164513 22.638752
 31 -12.224679 -2.814530 0.631294 -0.028600 -47.417290 -42.563160 -85.364700 22.690821
 32 -6.982136 -5.622249 0.564997 0.107591 -66.422600 -39.647499 -87.474960 23.334087
 33 -5.745371 -5.924302 0.755147 0.111506 -65.328651 -41.421837 -88.035431 23.709162
 34 -7.084229 -4.497926 0.488027 0.351047 -65.428581 -41.372456 -87.927292 24.203966
 35 -7.087620 -8.600055 0.573525 0.326539 -67.106178 -40.798996 -87.662453 24.191502
 36 -10.348438 -7.185387 0.431000 0.374917 -68.656097 -42.223835 -86.355949 28.992950
 37 -7.896349 -8.762233 0.481719 0.537374 -68.622368 -42.250957 -86.492203 28.997417
 38 -8.060389 -7.934649 0.556528 0.459209 -68.502312 -42.239910 -86.580452 29.014433
 39 -7.329381 -8.122165 0.081166 0.229058 -69.471687 -41.978806 -87.649376 29.547363
 40 -8.003010 -5.809988 0.438302 0.167629 -69.731758 -42.206947 -87.801903 29.639513
 41 -8.242002 -7.025847 0.087258 0.311650 -69.001152 -43.106392 -87.873405 29.806877
 42 -10.487106 -4.931153 0.188249 0.350816 -69.174248 -43.543247 -87.907997 29.961039
 43 -9.725999 -5.934277 0.250174 0.378878 -68.720436 -43.586517 -88.192932 30.052458
 44 -8.079539 -6.478781 0.292417 0.491808 -70.770882 -42.455147 -88.839615 29.448299
 45 -8.506721 -5.708115 0.189224 0.652531 -70.964668 -42.518593 -88.943855 29.411922
 46 -6.772039 -6.843924 0.267214 0.525009 -71.679298 -42.526600 -89.112854 29.143826
 47 -5.749258 -6.179906 0.135860 0.372777 -72.264122 -42.682404 -91.403481 27.677830
 48 -6.027476 -7.193800 0.345387 0.638196 -72.397385 -42.722450 -91.405289 27.669708
 49 -6.117918 -7.907464 0.311332 0.312832 -72.417999 -42.699108 -91.398758 27.667955
 50 -8.034838 -4.757046 0.352051 0.299731 -73.008247 -43.505650 -91.361656 27.691771
 51 -9.256952 -6.127439 0.345426 0.376240 -73.078262 -43.652519 -89.382576 28.651421
 52 -10.443734 -5.449368 0.242130 0.011429 -65.155937 -51.023075 -89.040771 27.613678
 53 -13.549662 -4.803703 0.223124 0.051669 -57.775478 -51.374069 -88.946945 27.513716
